epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.6276,1.96048,2.01922,2.2105,1.70129,0.00137,0.19277,0.00117,0.00024,0,0,0,0,4.91805,nan,inf,353.494,0.0705085,0.00327684,0.00327684
2,72.0772,1.96863,1.49991,1.84758,1.70266,0.00358,0.00402,0.00019,8e-05,0,0,0,0,nan,nan,nan,nan,0.0405084,0.0066101,0.0066101
3,107.039,1.87343,1.50491,1.75831,1.65043,0.05468,0.12048,0.0159,0.00305,0.01066,0.03614,0.00133,0.00022,3.59195,8.44165,13.8209,7.93884,0.0105081,0.00994311,0.00994311
4,142.153,1.69159,1.47356,1.5741,1.52232,0.02407,0.10442,0.0058,0.00133,0.00514,0.04016,0.00142,0.00023,4.16259,29.9427,8.24404,7.3326,0.00999912,0.00999912,0.00999912
5,177.184,1.58057,1.41628,1.46208,1.43896,0.48237,0.43787,0.40965,0.18765,0.45034,0.36853,0.31543,0.0805,2.18606,1.8176,1.94449,1.59653,0.00999844,0.00999844,0.00999844
6,212.296,1.50587,1.38804,1.40005,1.41145,0.66366,0.37751,0.41624,0.17989,0.64534,0.37349,0.36924,0.12417,2.09371,1.82661,2.39541,1.54712,0.00999756,0.00999756,0.00999756
7,247.881,1.42308,1.34417,1.33431,1.36117,0.63338,0.61446,0.57621,0.3179,0.54872,0.54618,0.43981,0.11061,1.6493,1.48536,1.61989,1.30145,0.00999648,0.00999648,0.00999648
8,283.296,1.37488,1.33842,1.27638,1.3296,0.62128,0.68675,0.58269,0.31032,0.43514,0.46988,0.29911,0.08275,1.67494,1.64239,1.4683,1.26399,0.00999521,0.00999521,0.00999521
9,318.659,1.35201,1.28615,1.26886,1.3164,0.69847,0.58607,0.56314,0.28663,0.5524,0.48572,0.3969,0.10944,1.80683,1.66675,1.55302,1.38872,0.00999375,0.00999375,0.00999375
10,354.234,1.31273,1.3154,1.23582,1.30639,0.70518,0.63052,0.60744,0.32325,0.70871,0.57028,0.53196,0.16128,1.70486,1.33674,1.48464,1.27507,0.00999209,0.00999209,0.00999209
11,389.581,1.25603,1.27403,1.1933,1.28623,0.72452,0.60643,0.61804,0.36543,0.61115,0.57439,0.47255,0.13561,1.55421,1.35355,1.40781,1.13523,0.00999023,0.00999023,0.00999023
12,424.779,1.25114,1.28133,1.14814,1.27016,0.4739,0.53902,0.4545,0.22675,0.50192,0.40562,0.3723,0.10902,2.08617,1.50275,2.02215,1.57179,0.00998818,0.00998818,0.00998818
13,459.884,1.23517,1.259,1.1628,1.26283,0.77448,0.65863,0.67455,0.4047,0.71309,0.60643,0.55436,0.17367,1.49894,1.30217,1.32569,1.21185,0.00998594,0.00998594,0.00998594
14,495.095,1.207,1.25987,1.14998,1.25583,0.71456,0.63338,0.63578,0.37449,0.61982,0.54217,0.46284,0.12998,1.4992,1.44847,1.35749,1.1765,0.0099835,0.0099835,0.0099835
15,530.273,1.20254,1.23429,1.13926,1.2536,0.78124,0.65462,0.65472,0.39445,0.71254,0.59839,0.53727,0.1716,1.48849,1.36885,1.38634,1.15051,0.00998086,0.00998086,0.00998086
16,564.952,1.16304,1.27417,1.1059,1.22796,0.74473,0.61446,0.62928,0.3613,0.66115,0.54618,0.53582,0.17013,1.56701,1.44855,1.57595,1.22191,0.00997803,0.00997803,0.00997803
17,599.944,1.13372,1.22633,1.08012,1.2198,0.80082,0.61044,0.66158,0.41662,0.74428,0.57028,0.55629,0.18914,1.39261,1.45995,1.29146,1.09445,0.00997501,0.00997501,0.00997501
18,635.135,1.14587,1.24114,1.07099,1.223,0.73029,0.66333,0.67336,0.40717,0.69196,0.61347,0.5793,0.19826,1.44557,1.28375,1.24847,1.09347,0.00997179,0.00997179,0.00997179
