rank,cmc
1,0.0703125
2,0.0859375
3,0.09375
4,0.125
5,0.15625
6,0.1953125
7,0.2109375
8,0.2265625
9,0.2265625
10,0.25
11,0.25
12,0.2734375
13,0.2734375
14,0.28125
15,0.2890625
16,0.3125
17,0.3203125
18,0.328125
19,0.3359375
20,0.3359375
21,0.359375
22,0.375
23,0.390625
24,0.390625
25,0.4140625
26,0.4140625
27,0.4140625
28,0.421875
29,0.4296875
30,0.4375
31,0.4453125
32,0.46875
33,0.484375
34,0.5234375
35,0.546875
36,0.546875
37,0.5703125
38,0.59375
39,0.59375
40,0.6015625
41,0.6171875
42,0.6171875
43,0.6171875
44,0.640625
45,0.6484375
46,0.65625
47,0.671875
48,0.671875
49,0.671875
50,0.6796875
