epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5041,1.36289,1.65226,1.69436,1.33852,0.75683,0.63747,0.65482,0.37696,0.00137,0.04819,0.00074,0.00014,1.48708,9.8985,1.65095,1.15686,0.0672821,0.000330484,0.000330484
2,77.715,1.31223,1.34321,1.33709,1.28861,0.66626,0.63052,0.60509,0.33032,0.58587,0.56815,0.47771,0.15128,1.55852,1.22409,1.52935,1.21536,0.034282,0.000663811,0.000663811
3,115.201,1.2865,1.30401,1.29107,1.27391,0.59893,0.60643,0.55541,0.29018,0.56037,0.51004,0.42183,0.12571,1.58285,1.31073,1.6759,1.19504,0.00128201,0.000997112,0.000997112
4,152.823,1.27584,1.28388,1.26098,1.27464,0.69576,0.66667,0.64334,0.38197,0.58919,0.576,0.46368,0.14411,1.492,1.28762,1.46406,1.20253,0.000999912,0.000999912,0.000999912
5,190.29,1.23307,1.25993,1.21257,1.25223,0.78372,0.66941,0.68717,0.41531,0.5831,0.50602,0.40014,0.11103,1.3987,1.34955,1.24436,1.07236,0.000999844,0.000999844,0.000999844
6,227.878,1.17672,1.24263,1.16237,1.23206,0.80078,0.63454,0.68139,0.41882,0.73723,0.57464,0.55975,0.1685,1.34957,1.24216,1.39522,1.08746,0.000999756,0.000999756,0.000999756
7,265.314,1.11042,1.22439,1.09206,1.19941,0.74068,0.66265,0.64788,0.40596,0.62169,0.59036,0.48299,0.15436,1.3801,1.27853,1.32929,1.10865,0.000999648,0.000999648,0.000999648
8,302.942,1.12604,1.22106,1.10053,1.20528,0.87157,0.68675,0.75005,0.47205,0.80081,0.63052,0.63701,0.19436,1.33279,1.19965,1.19458,1.03127,0.000999521,0.000999521,0.000999521
9,340.538,1.07451,1.21066,1.04552,1.18572,0.76454,0.65202,0.66632,0.38349,0.70072,0.60179,0.56724,0.1897,1.41613,1.18876,1.25043,1.07463,0.000999375,0.000999375,0.000999375
10,377.638,1.06711,1.20251,1.02844,1.18058,0.85033,0.66667,0.71708,0.4909,0.72227,0.56627,0.52087,0.16918,1.20484,1.40332,1.09825,1.02744,0.000999209,0.000999209,0.000999209
