rank,cmc
1,0.375
2,0.5078125
3,0.609375
4,0.6328125
5,0.6640625
6,0.71875
7,0.7421875
8,0.75
9,0.7734375
10,0.78125
11,0.78125
12,0.7890625
13,0.8125
14,0.8125
15,0.8203125
16,0.8203125
17,0.828125
18,0.828125
19,0.8359375
20,0.8515625
21,0.8515625
22,0.8515625
23,0.8515625
24,0.8515625
25,0.859375
26,0.859375
27,0.8671875
28,0.8828125
29,0.890625
30,0.8984375
31,0.8984375
32,0.90625
33,0.9140625
34,0.9140625
35,0.9140625
36,0.9140625
37,0.9140625
38,0.921875
39,0.921875
40,0.9296875
41,0.9296875
42,0.9296875
43,0.9296875
44,0.9296875
45,0.9296875
46,0.9375
47,0.9375
48,0.9375
49,0.9375
50,0.9375
