epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.085,1.38459,1.66777,1.66948,1.35018,0.54252,0.36948,0.42613,0.24089,0,0,0,0,1.76433,11.7559,2.2151,1.38361,0.0672821,0.000330484,0.000330484
2,79.4232,1.31854,1.35673,1.33864,1.28959,0.70216,0.62249,0.60874,0.27528,0.31102,0.29317,0.13167,0.02675,1.70948,1.54462,1.66923,1.25635,0.034282,0.000663811,0.000663811
3,117.735,1.2792,1.29114,1.29263,1.27535,0.71391,0.63855,0.66277,0.36225,0.62574,0.55732,0.49383,0.14463,1.52749,1.3283,1.63745,1.23149,0.00128201,0.000997112,0.000997112
4,155.428,1.25575,1.28615,1.23046,1.25224,0.82642,0.65012,0.69657,0.43055,0.58076,0.45783,0.31582,0.08015,1.38059,2.29694,1.25859,1.12315,0.000999912,0.000999912,0.000999912
5,193.281,1.20827,1.26811,1.18238,1.23625,0.74559,0.67068,0.66433,0.39376,0.70592,0.55913,0.54029,0.16952,1.45208,1.45342,1.32459,1.15542,0.000999844,0.000999844,0.000999844
6,231.218,1.16648,1.26364,1.14043,1.22009,0.71199,0.60241,0.63739,0.38899,0.63212,0.53414,0.49814,0.13414,1.36638,1.34996,1.38352,1.05195,0.000999756,0.000999756,0.000999756
7,269.468,1.12229,1.24261,1.09743,1.19941,0.76835,0.65462,0.69904,0.45399,0.64893,0.55422,0.46596,0.15129,1.25213,1.33074,1.10684,1.06697,0.000999648,0.000999648,0.000999648
8,307.438,1.11439,1.23408,1.07611,1.19819,0.76909,0.66881,0.68762,0.44489,0.70373,0.61053,0.5799,0.18631,1.37043,1.26173,1.30186,1.08468,0.000999521,0.000999521,0.000999521
9,345.374,1.0691,1.20366,1.03361,1.18696,0.76639,0.67871,0.69458,0.45094,0.737,0.64257,0.59146,0.20907,1.31236,1.1501,1.13082,1.04155,0.000999375,0.000999375,0.000999375
10,383.23,1.06812,1.19982,1.0295,1.1813,0.80927,0.64751,0.71703,0.47428,0.70701,0.54618,0.51652,0.15983,1.27749,1.29877,1.08612,1.00861,0.000999209,0.000999209,0.000999209
11,421.108,1.02805,1.17387,1.00869,1.16086,0.83531,0.67221,0.7356,0.4689,0.79928,0.63855,0.67209,0.21704,1.3093,1.17961,1.10906,1.03325,0.000999023,0.000999023,0.000999023
12,459.423,1.01894,1.1902,0.9902,1.1611,0.72825,0.72691,0.71432,0.47896,0.6973,0.64257,0.60124,0.1957,1.24264,1.19652,1.0878,1.02035,0.000998818,0.000998818,0.000998818
13,497.524,1.02554,1.17815,0.97464,1.15515,0.76921,0.70683,0.71576,0.49462,0.70054,0.63887,0.62568,0.20682,1.20844,1.22392,1.10689,0.99922,0.000998594,0.000998594,0.000998594
14,534.971,0.99609,1.15723,0.97159,1.14922,0.81137,0.69099,0.74143,0.5036,0.77523,0.64257,0.64985,0.21292,1.19351,1.1932,1.0348,1.024,0.00099835,0.00099835,0.00099835
15,572.633,1.00236,1.16423,0.96878,1.15118,0.80141,0.66667,0.70532,0.4427,0.7319,0.62492,0.62717,0.20048,1.24942,1.20977,1.14188,1.02645,0.000998086,0.000998086,0.000998086
16,609.992,0.97935,1.16705,0.9281,1.14245,0.75244,0.65917,0.70461,0.4793,0.693,0.60241,0.60784,0.20405,1.21059,1.21169,1.13885,0.98386,0.000997803,0.000997803,0.000997803
17,647.247,0.95273,1.15531,0.8957,1.12052,0.77112,0.71888,0.74061,0.49698,0.65522,0.61044,0.55406,0.19271,1.15589,1.2757,1.03774,0.98686,0.000997501,0.000997501,0.000997501
18,684.882,0.9614,1.15699,0.90671,1.13269,0.89398,0.6773,0.75823,0.52548,0.78946,0.61446,0.63313,0.21471,1.10397,1.21302,1.0123,0.95444,0.000997179,0.000997179,0.000997179
19,721.52,0.94306,1.14671,0.88823,1.12579,0.78037,0.71084,0.73086,0.51745,0.68459,0.62651,0.56062,0.19196,1.12699,1.19752,1.02001,0.97095,0.000996838,0.000996838,0.000996838
20,758.373,0.93547,1.13594,0.88652,1.12812,0.85189,0.68675,0.75237,0.53207,0.78415,0.66265,0.6653,0.20366,1.12626,1.23292,1.05197,0.95908,0.000996477,0.000996477,0.000996477
21,795.373,0.92571,1.13418,0.86953,1.11819,0.80008,0.69113,0.75724,0.54202,0.77415,0.63052,0.66151,0.22516,1.07997,1.17412,0.99629,0.92559,0.000996097,0.000996097,0.000996097
22,832.47,0.91455,1.13978,0.87594,1.11257,0.85459,0.72691,0.77039,0.52672,0.79793,0.67871,0.66168,0.22821,1.21058,1.24099,1.03095,0.97897,0.000995697,0.000995697,0.000995697
23,868.996,0.9305,1.12557,0.87594,1.12592,0.80518,0.73896,0.7685,0.53226,0.72573,0.66667,0.65689,0.22294,1.09986,1.15119,1.00402,0.94222,0.000995278,0.000995278,0.000995278
24,905.483,0.90474,1.12543,0.8644,1.11222,0.82985,0.74297,0.76918,0.51925,0.83116,0.6747,0.68637,0.21166,1.1912,1.18131,1.00999,0.94666,0.00099484,0.00099484,0.00099484
25,942.236,0.90374,1.11181,0.8513,1.10969,0.84742,0.72289,0.76672,0.56663,0.83644,0.63669,0.67001,0.23682,0.99927,1.14613,0.96007,0.88582,0.000994383,0.000994383,0.000994383
26,979.684,0.91302,1.11615,0.84762,1.10245,0.83525,0.67189,0.74064,0.53001,0.7821,0.63425,0.64128,0.19851,1.09035,1.17014,0.99286,0.93415,0.000993906,0.000993906,0.000993906
27,1016.56,0.88498,1.11566,0.83011,1.09769,0.81982,0.65786,0.73067,0.52464,0.74963,0.60123,0.61047,0.19548,1.086,1.19172,0.98446,0.95139,0.00099341,0.00099341,0.00099341
28,1053.44,0.88669,1.11399,0.83051,1.09711,0.82362,0.71261,0.74849,0.5356,0.77197,0.66621,0.6639,0.2246,1.05023,1.15615,1.01156,0.92796,0.000992894,0.000992894,0.000992894
29,1089.52,0.89584,1.11232,0.83981,1.10138,0.85716,0.71888,0.76976,0.54251,0.78775,0.6506,0.65739,0.21962,1.08374,1.18446,0.95727,0.92166,0.000992359,0.000992359,0.000992359
30,1126.21,0.87601,1.11402,0.82418,1.09294,0.83059,0.69076,0.76942,0.56813,0.78791,0.62661,0.67123,0.23452,0.98667,1.1833,0.88009,0.87753,0.000991805,0.000991805,0.000991805
31,1163.45,0.86129,1.09989,0.80944,1.09272,0.83712,0.72691,0.77957,0.54476,0.77462,0.66254,0.6653,0.22144,1.03448,1.17238,0.89196,0.90433,0.000991232,0.000991232,0.000991232
32,1200.53,0.84522,1.08617,0.79804,1.08022,0.8373,0.70269,0.78104,0.58087,0.77787,0.63052,0.65877,0.23047,0.98669,1.19814,0.89405,0.913,0.00099064,0.00099064,0.00099064
33,1237.29,0.85994,1.10439,0.81197,1.08428,0.83852,0.70907,0.75482,0.54839,0.78015,0.65556,0.65432,0.226,1.01602,1.18263,0.90318,0.90312,0.000990028,0.000990028,0.000990028
34,1274.05,0.86235,1.09486,0.81226,1.08877,0.79432,0.71344,0.75249,0.53565,0.72247,0.6506,0.61965,0.19955,1.00642,1.17494,0.95298,0.90508,0.000989398,0.000989398,0.000989398
35,1310.35,0.84166,1.07474,0.7858,1.08083,0.84647,0.76305,0.78294,0.57557,0.80991,0.71486,0.6964,0.24472,1.01761,1.11697,0.88355,0.89386,0.000988748,0.000988748,0.000988748
36,1347.55,0.86113,1.0949,0.79626,1.08674,0.84495,0.71888,0.76482,0.56343,0.79441,0.65462,0.65255,0.22336,0.99123,1.17366,0.92085,0.88812,0.000988079,0.000988079,0.000988079
37,1384.72,0.85973,1.09197,0.79811,1.08877,0.83617,0.75843,0.77537,0.55937,0.8269,0.69067,0.71408,0.24744,1.00395,1.12513,0.91499,0.89792,0.000987391,0.000987391,0.000987391
38,1421.78,0.85525,1.09697,0.78695,1.07922,0.87202,0.72289,0.78575,0.57533,0.80602,0.66748,0.68403,0.23659,0.98729,1.18425,0.88961,0.87396,0.000986684,0.000986684,0.000986684
39,1458.35,0.83924,1.08491,0.77838,1.07952,0.82487,0.69989,0.76364,0.55929,0.78998,0.66667,0.69702,0.23454,0.99561,1.13749,0.90208,0.90428,0.000985958,0.000985958,0.000985958
40,1495.01,0.83714,1.08613,0.77617,1.07952,0.85566,0.76707,0.79788,0.58441,0.80971,0.64659,0.6559,0.22603,1.01712,1.18873,0.86991,0.89515,0.000985213,0.000985213,0.000985213
41,1531.19,0.83332,1.08843,0.77309,1.07012,0.88456,0.73896,0.80193,0.59088,0.78344,0.65462,0.65625,0.2305,0.99164,1.1749,0.8626,0.88958,0.000984449,0.000984449,0.000984449
42,1568.54,0.83713,1.08077,0.77287,1.07274,0.85529,0.73494,0.7867,0.59006,0.80304,0.69076,0.68245,0.22267,0.98417,1.18324,0.9084,0.90607,0.000983666,0.000983666,0.000983666
43,1605.69,0.83457,1.06468,0.77342,1.07568,0.89445,0.68675,0.76661,0.56978,0.86414,0.65863,0.70196,0.25251,1.01106,1.13141,0.89398,0.90236,0.000982864,0.000982864,0.000982864
44,1642.71,0.8232,1.08514,0.76861,1.07819,0.85026,0.70694,0.77736,0.58172,0.79689,0.63855,0.65839,0.21392,0.95536,1.21084,0.89558,0.9017,0.000982043,0.000982043,0.000982043
45,1679.98,0.83297,1.07168,0.78507,1.07462,0.84311,0.73377,0.79388,0.56266,0.76912,0.66895,0.69523,0.24195,1.02554,1.13801,0.92566,0.91844,0.000981204,0.000981204,0.000981204
46,1716.8,0.81025,1.06122,0.75759,1.06971,0.87709,0.71645,0.78944,0.59073,0.79842,0.6522,0.66519,0.22483,0.93468,1.13665,0.84718,0.88075,0.000980345,0.000980345,0.000980345
47,1753.24,0.81278,1.08264,0.74678,1.07272,0.88079,0.71216,0.77393,0.55922,0.8351,0.66667,0.70733,0.25082,1.02111,1.12852,0.87523,0.90684,0.000979468,0.000979468,0.000979468
48,1789.78,0.79829,1.07528,0.73742,1.05971,0.87141,0.73896,0.77782,0.58545,0.84315,0.67068,0.6825,0.24647,0.95808,1.1434,0.87049,0.88135,0.000978572,0.000978572,0.000978572
49,1827.36,0.81041,1.08357,0.73852,1.0658,0.84536,0.72452,0.78824,0.58256,0.78888,0.68273,0.7034,0.24411,0.96705,1.15576,0.8583,0.87727,0.000977658,0.000977658,0.000977658
50,1864.69,0.80184,1.0845,0.75959,1.06049,0.85239,0.69576,0.7639,0.56953,0.80372,0.65779,0.67637,0.22964,0.96694,1.1444,0.87728,0.90709,0.000976725,0.000976725,0.000976725
51,1902.1,0.81216,1.0579,0.74525,1.06215,0.83925,0.74699,0.77703,0.5685,0.77316,0.69076,0.69225,0.24038,0.96291,1.15687,0.8437,0.89208,0.000975773,0.000975773,0.000975773
52,1938.95,0.81363,1.05965,0.7473,1.06692,0.79792,0.72947,0.7727,0.58549,0.76978,0.63454,0.63874,0.2159,0.91744,1.14644,0.88939,0.88761,0.000974803,0.000974803,0.000974803
53,1975.78,0.79558,1.06292,0.72855,1.04717,0.87435,0.73092,0.7979,0.6027,0.77321,0.6747,0.67344,0.25029,0.88682,1.11524,0.81665,0.84634,0.000973814,0.000973814,0.000973814
54,2012.39,0.80284,1.04873,0.72557,1.05476,0.85117,0.73092,0.77805,0.57685,0.79016,0.62651,0.64121,0.22668,0.96084,1.14075,0.8446,0.89902,0.000972806,0.000972806,0.000972806
55,2048.94,0.79458,1.04945,0.73217,1.05137,0.8086,0.75904,0.76729,0.58986,0.74102,0.69478,0.67634,0.23343,0.91551,1.14374,0.85057,0.86926,0.00097178,0.00097178,0.00097178
56,2085.84,0.79761,1.0556,0.71801,1.05989,0.82684,0.73494,0.78564,0.59183,0.80085,0.67832,0.69456,0.25405,0.99572,1.13562,0.86021,0.89066,0.000970736,0.000970736,0.000970736
