rank,cmc
1,0.03125
2,0.0546875
3,0.0625
4,0.09375
5,0.1171875
6,0.1328125
7,0.140625
8,0.140625
9,0.15625
10,0.171875
11,0.203125
12,0.21875
13,0.2421875
14,0.265625
15,0.2890625
16,0.3046875
17,0.3203125
18,0.3203125
19,0.328125
20,0.34375
21,0.359375
22,0.359375
23,0.3671875
24,0.375
25,0.3828125
26,0.390625
27,0.40625
28,0.4375
29,0.46875
30,0.46875
31,0.4921875
32,0.4921875
33,0.5078125
34,0.5078125
35,0.515625
36,0.5234375
37,0.5390625
38,0.5703125
39,0.5859375
40,0.59375
41,0.59375
42,0.6015625
43,0.6171875
44,0.640625
45,0.640625
46,0.6640625
47,0.6640625
48,0.671875
49,0.6875
50,0.6953125
