epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0571,1.51764,2.02741,2.28137,1.60005,0.12645,0.39357,0.20738,0.09207,0.00387,0.01205,0.00215,0.00035,2.3762,7.98582,3.9761,1.90548,0.0675593,0.000327684,0.000327684
2,94.0821,1.35496,1.33446,1.47688,1.47554,0.49121,0.40964,0.3618,0.15363,0.0068,0.01606,0.00044,0.0001,2.12526,9.32957,2.3129,1.8642,0.0345593,0.00066101,0.00066101
3,141.591,1.40503,1.3331,1.46952,1.50236,0.18104,0.25568,0.12148,0.03679,0.16341,0.10442,0.03242,0.00523,2.95164,5.955,3.69636,2.93118,0.00155928,0.000994311,0.000994311
4,188.995,1.35806,1.33304,1.40115,1.48873,0.48964,0.4498,0.39597,0.17958,0.29682,0.29317,0.1517,0.03036,1.89528,2.56419,2.09144,1.68754,0.000999912,0.000999912,0.000999912
5,236.413,1.2625,1.30468,1.27873,1.426,0.74752,0.64207,0.63204,0.3381,0.59698,0.51162,0.40584,0.11541,1.71549,1.63078,1.68085,1.6075,0.000999844,0.000999844,0.000999844
6,283.384,1.23161,1.29887,1.25779,1.40068,0.79368,0.68675,0.70926,0.38809,0.57245,0.47319,0.35114,0.09403,1.61387,1.57622,1.5082,1.45185,0.000999756,0.000999756,0.000999756
7,330.707,1.16971,1.2802,1.1947,1.36759,0.70283,0.66265,0.61034,0.34114,0.57637,0.5502,0.42488,0.12275,1.54632,1.30597,1.58629,1.47522,0.000999648,0.000999648,0.000999648
8,377.731,1.15378,1.26499,1.14151,1.3489,0.76761,0.65002,0.71382,0.4395,0.73383,0.53147,0.50718,0.16356,1.36037,1.31134,1.3594,1.24803,0.000999521,0.000999521,0.000999521
9,424.999,1.11257,1.23386,1.11052,1.31426,0.67472,0.5261,0.60086,0.34578,0.54293,0.41365,0.39389,0.11949,1.62912,1.35151,1.51585,1.39323,0.000999375,0.000999375,0.000999375
10,472.986,1.08939,1.21568,1.09486,1.31649,0.85037,0.68273,0.72699,0.46751,0.76124,0.59438,0.57219,0.16908,1.33589,1.30831,1.21361,1.22918,0.000999209,0.000999209,0.000999209
11,520.295,1.06942,1.21366,1.06928,1.3002,0.74884,0.71486,0.71105,0.45617,0.6611,0.54618,0.48629,0.14331,1.3435,1.35967,1.31715,1.21108,0.000999023,0.000999023,0.000999023
12,567.524,1.07483,1.21078,1.01522,1.29446,0.75729,0.71888,0.71382,0.44613,0.66514,0.57028,0.5207,0.18561,1.41597,1.39047,1.33475,1.20877,0.000998818,0.000998818,0.000998818
13,614.618,1.02551,1.19488,1.00863,1.27123,0.76917,0.68249,0.70192,0.46176,0.6818,0.58635,0.52816,0.17179,1.33333,1.25724,1.2596,1.23136,0.000998594,0.000998594,0.000998594
14,662.078,1.00289,1.20594,0.99177,1.25323,0.84131,0.69076,0.74164,0.50502,0.67634,0.54217,0.48377,0.1433,1.19984,1.36755,1.17897,1.17916,0.00099835,0.00099835,0.00099835
15,709.594,1.00427,1.19278,0.99483,1.26009,0.79823,0.70683,0.7604,0.49866,0.71521,0.58233,0.56012,0.15851,1.20476,1.23199,1.21997,1.19179,0.000998086,0.000998086,0.000998086
16,757.231,0.99544,1.19959,0.9717,1.24791,0.75111,0.69076,0.71516,0.45808,0.61097,0.57831,0.51817,0.16314,1.29338,1.31287,1.28579,1.2166,0.000997803,0.000997803,0.000997803
17,804.55,0.97409,1.17085,0.9605,1.23884,0.81,0.70196,0.75368,0.50731,0.683,0.58233,0.54234,0.17423,1.16206,1.33503,1.16906,1.12766,0.000997501,0.000997501,0.000997501
18,851.706,0.99177,1.16186,0.93893,1.24925,0.7053,0.70166,0.7083,0.4714,0.63702,0.61446,0.57517,0.17344,1.21178,1.27631,1.19323,1.1529,0.000997179,0.000997179,0.000997179
19,898.541,0.95182,1.17867,0.92899,1.22648,0.835,0.73168,0.77406,0.49261,0.73172,0.62249,0.5721,0.1745,1.25044,1.28267,1.13237,1.12147,0.000996838,0.000996838,0.000996838
20,945.74,0.92623,1.17078,0.9067,1.216,0.60167,0.59449,0.54101,0.30777,0.54194,0.48941,0.42983,0.12798,1.65576,1.55498,1.82431,1.4454,0.000996477,0.000996477,0.000996477
21,992.848,0.9182,1.15821,0.89885,1.20975,0.81332,0.6988,0.78228,0.54489,0.74676,0.59839,0.5948,0.20086,1.18671,1.30638,1.22364,1.12932,0.000996097,0.000996097,0.000996097
22,1039.78,0.91866,1.15756,0.89844,1.21425,0.82306,0.79518,0.81193,0.5622,0.77758,0.63052,0.622,0.19821,1.09731,1.23089,0.98391,1.06704,0.000995697,0.000995697,0.000995697
23,1087.13,0.90713,1.15385,0.88322,1.19409,0.81994,0.69478,0.74056,0.52768,0.70358,0.58233,0.54402,0.17623,1.0997,1.35776,1.11863,1.12457,0.000995278,0.000995278,0.000995278
24,1134.15,0.90696,1.15998,0.89229,1.20759,0.80811,0.73494,0.76347,0.5104,0.65858,0.61044,0.5487,0.17861,1.21212,1.31104,1.12264,1.12131,0.00099484,0.00099484,0.00099484
25,1174.91,0.91905,1.16157,0.87429,1.19638,0.83534,0.71486,0.78944,0.54066,0.66169,0.57028,0.56087,0.18227,1.14725,1.28183,1.12877,1.11297,0.000994383,0.000994383,0.000994383
26,1210.04,0.8647,1.12865,0.84576,1.17491,0.83237,0.7179,0.74862,0.55323,0.73982,0.67377,0.6235,0.20051,1.05574,1.22847,1.03923,1.05972,0.000993906,0.000993906,0.000993906
27,1257,0.86756,1.13174,0.84154,1.1749,0.79867,0.75904,0.80508,0.55064,0.71358,0.67871,0.6358,0.20628,1.12638,1.23505,1.01977,1.12004,0.00099341,0.00099341,0.00099341
28,1304.07,0.87555,1.14169,0.84471,1.17812,0.80678,0.73896,0.76962,0.53842,0.71048,0.63075,0.61096,0.19261,1.10765,1.26819,1.05952,1.08087,0.000992894,0.000992894,0.000992894
