rank,cmc
1,0.6015625
2,0.6875
3,0.71875
4,0.7578125
5,0.7734375
6,0.78125
7,0.7890625
8,0.8046875
9,0.8125
10,0.8359375
11,0.8515625
12,0.8671875
13,0.8671875
14,0.8671875
15,0.8828125
16,0.8828125
17,0.8828125
18,0.8984375
19,0.8984375
20,0.90625
21,0.921875
22,0.9296875
23,0.9375
24,0.9453125
25,0.9453125
26,0.953125
27,0.953125
28,0.953125
29,0.953125
30,0.953125
31,0.953125
32,0.953125
33,0.953125
34,0.953125
35,0.953125
36,0.953125
37,0.953125
38,0.953125
39,0.96875
40,0.96875
41,0.9765625
42,0.9765625
43,0.9765625
44,0.9765625
45,0.984375
46,0.984375
47,0.9921875
48,0.9921875
49,0.9921875
50,0.9921875
