rank,cmc
1,0.015625
2,0.0234375
3,0.0234375
4,0.03125
5,0.0546875
6,0.0703125
7,0.078125
8,0.09375
9,0.09375
10,0.1171875
11,0.125
12,0.1328125
13,0.1328125
14,0.1328125
15,0.15625
16,0.1640625
17,0.1796875
18,0.1875
19,0.1953125
20,0.1953125
21,0.2109375
22,0.234375
23,0.25
24,0.265625
25,0.2734375
26,0.28125
27,0.2890625
28,0.3046875
29,0.3125
30,0.3359375
31,0.3671875
32,0.3671875
33,0.390625
34,0.390625
35,0.3984375
36,0.40625
37,0.4140625
38,0.4453125
39,0.4453125
40,0.453125
41,0.46875
42,0.484375
43,0.484375
44,0.484375
45,0.484375
46,0.5
47,0.515625
48,0.53125
49,0.546875
50,0.546875
