rank,cmc
1,0.6015625
2,0.6796875
3,0.703125
4,0.7421875
5,0.7734375
6,0.796875
7,0.8046875
8,0.8203125
9,0.828125
10,0.828125
11,0.828125
12,0.8359375
13,0.84375
14,0.8515625
15,0.859375
16,0.8671875
17,0.8671875
18,0.875
19,0.8828125
20,0.8828125
21,0.890625
22,0.890625
23,0.9140625
24,0.9140625
25,0.9140625
26,0.921875
27,0.9296875
28,0.9296875
29,0.9296875
30,0.953125
31,0.953125
32,0.953125
33,0.953125
34,0.953125
35,0.953125
36,0.953125
37,0.9609375
38,0.96875
39,0.9765625
40,0.9765625
41,0.9765625
42,0.9765625
43,0.9765625
44,0.9765625
45,0.9765625
46,0.9765625
47,0.9765625
48,0.9765625
49,0.9765625
50,0.9765625
