epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5477,1.37066,1.87824,1.93292,1.37376,0.04516,0.77912,0.57988,0.32836,0.0014,0.0241,0.00073,0.00011,1.56232,7.63462,2.96524,1.15529,0.0675593,0.000327684,0.000327684
2,76.4242,1.24939,1.30779,1.32317,1.25836,0.55211,0.53414,0.39519,0.17993,0.27472,0.28916,0.11955,0.02811,1.85172,3.53783,2.00862,1.35675,0.0345593,0.00066101,0.00066101
3,115.254,1.31437,1.31331,1.33687,1.29521,0.24558,0.44578,0.20668,0.09522,0.30183,0.30924,0.19276,0.0506,1.98067,1.80631,2.84785,1.71272,0.00155928,0.000994311,0.000994311
4,153.945,1.28283,1.30314,1.28921,1.28703,0.66826,0.66338,0.61755,0.35687,0.63921,0.55823,0.50317,0.16374,1.60994,1.88348,1.58414,1.24832,0.000999912,0.000999912,0.000999912
5,192.664,1.211,1.26165,1.18537,1.24255,0.65707,0.59036,0.58937,0.3348,0.36968,0.35743,0.20853,0.04548,1.52128,1.76357,1.51365,1.19507,0.000999844,0.000999844,0.000999844
6,231.779,1.19554,1.2789,1.14963,1.23866,0.74329,0.67068,0.67129,0.40273,0.69036,0.63052,0.58298,0.1826,1.43091,1.25563,1.43045,1.12281,0.000999756,0.000999756,0.000999756
7,271.113,1.13972,1.23965,1.11026,1.2112,0.76381,0.64939,0.62434,0.39175,0.69098,0.58635,0.50376,0.16244,1.41012,1.3037,1.31177,1.13185,0.000999648,0.000999648,0.000999648
8,309.868,1.11443,1.23799,1.08189,1.19493,0.76652,0.62249,0.64735,0.36786,0.6316,0.51807,0.43958,0.13966,1.4925,1.42715,1.4624,1.17242,0.000999521,0.000999521,0.000999521
9,348.84,1.08932,1.19633,1.05596,1.18045,0.84159,0.6401,0.69861,0.45484,0.76847,0.57317,0.57147,0.17624,1.32078,1.26324,1.17899,1.07698,0.000999375,0.000999375,0.000999375
10,387.58,1.05474,1.21413,1.03123,1.18408,0.64277,0.58233,0.56143,0.37299,0.70913,0.61446,0.60362,0.18867,1.3407,1.28673,1.39372,1.05713,0.000999209,0.000999209,0.000999209
11,426.642,1.04819,1.18486,1.02022,1.1776,0.76175,0.6988,0.67866,0.42793,0.59931,0.58233,0.455,0.1409,1.25312,1.32375,1.22209,0.99446,0.000999023,0.000999023,0.000999023
12,465.263,1.01902,1.19864,0.97357,1.16181,0.74452,0.66711,0.68775,0.47687,0.64949,0.60241,0.52625,0.17971,1.19068,1.21991,1.17338,0.98818,0.000998818,0.000998818,0.000998818
13,504.211,1.03831,1.16931,0.98731,1.16806,0.75537,0.63244,0.67186,0.43239,0.69013,0.63507,0.56355,0.18822,1.26637,1.2631,1.21045,0.99904,0.000998594,0.000998594,0.000998594
14,543.122,0.97896,1.16639,0.96658,1.14023,0.83004,0.71084,0.72908,0.48873,0.68625,0.57976,0.51498,0.15462,1.20441,1.3346,1.18802,0.99581,0.00099835,0.00099835,0.00099835
15,582.279,1.00112,1.15662,0.95067,1.14937,0.80135,0.67871,0.72901,0.46348,0.71818,0.61847,0.58467,0.1981,1.25282,1.27665,1.23738,0.99315,0.000998086,0.000998086,0.000998086
