rank,cmc
1,0.515625
2,0.640625
3,0.6640625
4,0.703125
5,0.7265625
6,0.75
7,0.7578125
8,0.765625
9,0.7734375
10,0.7890625
11,0.7890625
12,0.7890625
13,0.796875
14,0.796875
15,0.8046875
16,0.8203125
17,0.828125
18,0.8359375
19,0.8359375
20,0.8359375
21,0.8359375
22,0.8359375
23,0.8359375
24,0.84375
25,0.8515625
26,0.8515625
27,0.859375
28,0.8671875
29,0.8671875
30,0.8671875
31,0.8671875
32,0.875
33,0.875
34,0.875
35,0.8984375
36,0.90625
37,0.921875
38,0.921875
39,0.921875
40,0.921875
41,0.921875
42,0.921875
43,0.921875
44,0.9296875
45,0.9375
46,0.9375
47,0.9375
48,0.9375
49,0.9375
50,0.9375
