epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.2149,1.55157,2.02727,2.20938,1.61937,0.01797,0.40161,0.05545,0.02324,0.0106,0.23695,0.01895,0.00374,2.78603,10.0301,3.87949,2.25702,0.0675593,0.000327684,0.000327684
2,96.353,1.33694,1.32798,1.42573,1.4675,0.59368,0.53815,0.52143,0.22035,0,0,0,0,1.95098,20.1871,1.94785,1.87635,0.0345593,0.00066101,0.00066101
3,144.537,1.37829,1.34188,1.42942,1.48849,0.35233,0.47791,0.36312,0.17364,0.16591,0.27309,0.07849,0.017,1.8968,3.66016,2.12861,1.92206,0.00155928,0.000994311,0.000994311
4,192.215,1.36245,1.32894,1.38592,1.48269,0.44311,0.58233,0.37101,0.17415,0.26408,0.33735,0.13351,0.03178,1.75854,2.11467,3.02631,1.6251,0.000999912,0.000999912,0.000999912
5,239.757,1.29354,1.30228,1.28783,1.4357,0.66428,0.53012,0.50945,0.28433,0.44591,0.35743,0.22198,0.04791,1.67554,1.86162,1.79579,1.66239,0.000999844,0.000999844,0.000999844
6,287.72,1.23422,1.31262,1.25009,1.40859,0.75209,0.6747,0.66467,0.3939,0.38299,0.33333,0.16311,0.03092,1.47393,1.52271,1.44521,1.3513,0.000999756,0.000999756,0.000999756
7,335.61,1.16671,1.26765,1.18845,1.36395,0.80433,0.64257,0.6577,0.40414,0.65314,0.55422,0.45196,0.14104,1.40015,1.37425,1.40362,1.33213,0.000999648,0.000999648,0.000999648
8,383.056,1.14767,1.25961,1.14035,1.33617,0.75816,0.62651,0.66534,0.38819,0.62198,0.56225,0.49746,0.16257,1.51652,1.36663,1.42055,1.28151,0.000999521,0.000999521,0.000999521
9,430.633,1.1006,1.23394,1.08835,1.31327,0.828,0.67665,0.74029,0.45391,0.7079,0.5743,0.53134,0.16643,1.45232,1.44861,1.27267,1.30183,0.000999375,0.000999375,0.000999375
10,465.203,1.08224,1.23391,1.09825,1.3104,0.7255,0.65863,0.66482,0.38608,0.67036,0.54721,0.49537,0.15097,1.4492,1.37051,1.51848,1.35788,0.000999209,0.000999209,0.000999209
11,506.65,1.05309,1.21248,1.03775,1.28485,0.78614,0.66435,0.68771,0.45528,0.71104,0.5633,0.50498,0.14889,1.27809,1.37144,1.27725,1.20961,0.000999023,0.000999023,0.000999023
12,554.121,1.02899,1.20004,1.00366,1.2719,0.79857,0.69478,0.73395,0.46416,0.70772,0.58635,0.54377,0.15488,1.33625,1.27097,1.25484,1.22078,0.000998818,0.000998818,0.000998818
13,601.703,1.01484,1.19686,0.98682,1.26578,0.74202,0.65843,0.69032,0.41026,0.65721,0.55422,0.54784,0.1797,1.40893,1.26671,1.35843,1.26051,0.000998594,0.000998594,0.000998594
14,648.968,1.03162,1.21008,1.00857,1.26224,0.82372,0.66265,0.72143,0.47388,0.67955,0.53012,0.48954,0.14745,1.27867,1.35989,1.202,1.20453,0.00099835,0.00099835,0.00099835
15,696.139,1.01055,1.17639,0.98211,1.26269,0.84773,0.69312,0.74793,0.51149,0.74662,0.57986,0.56427,0.17986,1.20715,1.26864,1.25457,1.18613,0.000998086,0.000998086,0.000998086
16,743.765,0.97519,1.20322,0.95651,1.23854,0.73412,0.68273,0.68283,0.44929,0.62141,0.58233,0.52346,0.16478,1.31088,1.32382,1.30157,1.19352,0.000997803,0.000997803,0.000997803
17,791.635,0.95785,1.17064,0.94,1.23524,0.84537,0.68273,0.73747,0.49717,0.75394,0.61044,0.61626,0.21274,1.21342,1.24481,1.11757,1.14884,0.000997501,0.000997501,0.000997501
18,839.07,1.00491,1.16901,0.96082,1.25188,0.82324,0.69076,0.75514,0.5054,0.74504,0.59851,0.59691,0.19456,1.17589,1.29277,1.06342,1.12281,0.000997179,0.000997179,0.000997179
19,886.074,0.93727,1.16917,0.91728,1.22997,0.72262,0.72191,0.7423,0.50644,0.65182,0.51877,0.50336,0.14801,1.1334,1.31821,1.15133,1.07667,0.000996838,0.000996838,0.000996838
20,933.41,0.92625,1.16948,0.89693,1.22006,0.85002,0.68675,0.76042,0.53335,0.69253,0.65128,0.61958,0.18685,1.11436,1.21876,1.10067,1.10146,0.000996477,0.000996477,0.000996477
21,980.928,0.93224,1.14146,0.89943,1.21126,0.79433,0.68675,0.7533,0.5029,0.71042,0.59036,0.57836,0.19037,1.17584,1.25422,1.20868,1.14225,0.000996097,0.000996097,0.000996097
22,1028.27,0.92765,1.14971,0.88767,1.21467,0.75421,0.76404,0.76611,0.5256,0.70867,0.65863,0.63301,0.20812,1.09779,1.20947,1.05577,1.06738,0.000995697,0.000995697,0.000995697
23,1074.76,0.91592,1.14857,0.8733,1.19881,0.83371,0.69478,0.76086,0.55002,0.72876,0.60427,0.59524,0.19226,1.10784,1.33863,1.04661,1.09051,0.000995278,0.000995278,0.000995278
24,1122.04,0.91532,1.15459,0.89899,1.20103,0.85421,0.70683,0.77401,0.51166,0.74796,0.61847,0.58272,0.19727,1.16954,1.24711,1.1199,1.0591,0.00099484,0.00099484,0.00099484
25,1169.22,0.90495,1.15182,0.86548,1.1897,0.81402,0.74297,0.77141,0.5158,0.68595,0.63052,0.54841,0.18263,1.17517,1.28493,1.07893,1.15304,0.000994383,0.000994383,0.000994383
26,1216.14,0.89171,1.12808,0.85276,1.19207,0.8022,0.68409,0.75052,0.52496,0.73539,0.62651,0.62174,0.19193,1.14095,1.24077,1.12889,1.09741,0.000993906,0.000993906,0.000993906
27,1263.45,0.88648,1.13701,0.84698,1.18316,0.85124,0.68943,0.77442,0.5401,0.69488,0.59438,0.58463,0.20105,1.13057,1.26894,1.00708,1.07191,0.00099341,0.00099341,0.00099341
28,1310.46,0.87344,1.14675,0.83586,1.17191,0.86025,0.71486,0.767,0.5396,0.7778,0.59045,0.6181,0.20028,1.1142,1.26873,1.04138,1.12013,0.000992894,0.000992894,0.000992894
29,1357.54,0.90023,1.14297,0.85024,1.19102,0.83018,0.72643,0.79197,0.56675,0.73011,0.64099,0.63636,0.20824,1.07915,1.22458,1.04198,1.05463,0.000992359,0.000992359,0.000992359
30,1404.77,0.90014,1.14271,0.84474,1.1885,0.84064,0.69909,0.77582,0.5585,0.76953,0.59839,0.61057,0.19839,1.07571,1.24277,1.03225,1.07936,0.000991805,0.000991805,0.000991805
31,1452.18,0.86941,1.12202,0.84016,1.18106,0.88292,0.72685,0.81077,0.58092,0.73165,0.60223,0.57819,0.19971,1.05733,1.26511,0.962,1.06887,0.000991232,0.000991232,0.000991232
32,1499.57,0.86832,1.12579,0.80949,1.19221,0.83542,0.66265,0.76473,0.54583,0.73862,0.58233,0.59051,0.19779,1.07685,1.22876,1.057,1.07772,0.00099064,0.00099064,0.00099064
33,1546.88,0.87464,1.14591,0.8156,1.18008,0.83092,0.71084,0.77988,0.56076,0.73271,0.62249,0.62525,0.20714,1.04589,1.21952,1.02475,1.05768,0.000990028,0.000990028,0.000990028
34,1594.51,0.85598,1.11065,0.81188,1.16609,0.87755,0.73494,0.78817,0.57827,0.77906,0.65863,0.64156,0.21286,1.03218,1.20946,0.99763,1.038,0.000989398,0.000989398,0.000989398
35,1642.15,0.85041,1.09954,0.7938,1.1615,0.83515,0.75278,0.7868,0.55206,0.74662,0.65088,0.62237,0.21426,1.06919,1.21718,1.03413,1.06466,0.000988748,0.000988748,0.000988748
36,1689.41,0.84171,1.12248,0.79089,1.15493,0.82831,0.73896,0.78187,0.5685,0.74364,0.66265,0.63969,0.19615,1.07899,1.21895,0.99155,1.05973,0.000988079,0.000988079,0.000988079
37,1736.79,0.84174,1.11158,0.78502,1.15736,0.86553,0.7238,0.80152,0.56618,0.7374,0.61847,0.61552,0.20446,1.05855,1.22779,0.9761,1.03943,0.000987391,0.000987391,0.000987391
38,1783.88,0.83098,1.10045,0.77728,1.15749,0.8767,0.73092,0.78491,0.56371,0.74628,0.61446,0.58718,0.21114,1.08097,1.28792,0.98941,1.06159,0.000986684,0.000986684,0.000986684
39,1831.26,0.8502,1.12061,0.7897,1.15368,0.8699,0.71084,0.79228,0.5731,0.76474,0.61356,0.6182,0.19857,0.99713,1.23017,0.95641,1.02841,0.000985958,0.000985958,0.000985958
40,1878.27,0.8235,1.09073,0.7629,1.14062,0.83112,0.7708,0.77856,0.54744,0.70516,0.62433,0.57143,0.18586,1.11374,1.30513,1.01269,1.08048,0.000985213,0.000985213,0.000985213
41,1925.29,0.81661,1.10623,0.77125,1.14484,0.91112,0.71888,0.81442,0.60007,0.8226,0.63317,0.6538,0.22037,0.99128,1.19748,0.93806,1.01522,0.000984449,0.000984449,0.000984449
