rank,cmc
1,0.5859375
2,0.6484375
3,0.7265625
4,0.765625
5,0.78125
6,0.78125
7,0.796875
8,0.8125
9,0.8203125
10,0.828125
11,0.84375
12,0.8515625
13,0.8515625
14,0.8515625
15,0.8515625
16,0.8671875
17,0.8671875
18,0.875
19,0.8828125
20,0.8828125
21,0.8984375
22,0.8984375
23,0.90625
24,0.90625
25,0.9140625
26,0.921875
27,0.9296875
28,0.9296875
29,0.9296875
30,0.9296875
31,0.9375
32,0.9375
33,0.9375
34,0.9453125
35,0.9453125
36,0.953125
37,0.9609375
38,0.96875
39,0.96875
40,0.96875
41,0.96875
42,0.96875
43,0.96875
44,0.9765625
45,0.9765625
46,0.9765625
47,0.9765625
48,0.9765625
49,0.9765625
50,0.9765625
