rank,cmc
1,0.0625
2,0.09375
3,0.1171875
4,0.140625
5,0.171875
6,0.203125
7,0.2265625
8,0.234375
9,0.2421875
10,0.2578125
11,0.265625
12,0.2890625
13,0.3046875
14,0.3203125
15,0.3203125
16,0.3203125
17,0.328125
18,0.3359375
19,0.3515625
20,0.3515625
21,0.359375
22,0.3671875
23,0.375
24,0.3828125
25,0.3984375
26,0.40625
27,0.421875
28,0.4296875
29,0.453125
30,0.4609375
31,0.4609375
32,0.5078125
33,0.5234375
34,0.53125
35,0.5625
36,0.5625
37,0.5859375
38,0.59375
39,0.59375
40,0.609375
41,0.609375
42,0.609375
43,0.6171875
44,0.6328125
45,0.6328125
46,0.65625
47,0.6796875
48,0.703125
49,0.703125
50,0.7109375
