epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0959,2.12213,2.15862,2.62822,2.06856,4e-05,0.00803,2e-05,1e-05,0,0,0,0,nan,nan,nan,nan,0.0705085,0.00327684,0.00327684
2,63.8528,2.15476,1.58705,2.19004,2.10207,0.00053,0.00803,6e-05,2e-05,0,0,0,0,4.88319,132.042,92.4471,26.5663,0.0405084,0.0066101,0.0066101
3,92.101,2.00128,1.57546,2.08641,1.99525,0.00061,0.02811,0.00013,2e-05,0,0,0,0,4.82898,12.4549,30.3347,7.38967,0.0105081,0.00994311,0.00994311
4,120.26,1.9076,1.50886,1.95782,1.91315,0.14061,0.17269,0.09097,0.02663,0.08175,0.1004,0.02001,0.00395,3.01994,2.41746,16.1741,3.29022,0.00999912,0.00999912,0.00999912
5,147.885,1.80328,1.41395,1.8206,1.81612,0.50054,0.39759,0.38625,0.14791,0.3558,0.29317,0.20247,0.04296,2.11907,2.03095,3.28068,1.97317,0.00999844,0.00999844,0.00999844
6,174.953,1.68216,1.42943,1.69563,1.72916,0.55724,0.46988,0.44287,0.20914,0.48387,0.4739,0.33923,0.08331,2.08219,1.43884,2.31475,1.93134,0.00999756,0.00999756,0.00999756
7,202.209,1.5806,1.37877,1.59696,1.64786,0.36895,0.47791,0.3416,0.16102,0.25698,0.39759,0.17709,0.04442,2.03304,1.55651,2.48799,2.00329,0.00999648,0.00999648,0.00999648
8,229.03,1.53594,1.36061,1.49918,1.60696,0.53175,0.58833,0.49456,0.20941,0.40339,0.48996,0.3038,0.07712,2.14863,1.74412,2.18313,1.88414,0.00999521,0.00999521,0.00999521
9,255.886,1.50012,1.33815,1.47302,1.57197,0.72215,0.62651,0.60425,0.31633,0.64764,0.561,0.48664,0.15045,1.78224,1.37045,1.56538,1.56106,0.00999375,0.00999375,0.00999375
10,283.02,1.41967,1.33112,1.4019,1.53349,0.33248,0.25301,0.17464,0.06511,0.3154,0.21687,0.15335,0.03683,3.08789,2.47817,3.81628,2.8091,0.00999209,0.00999209,0.00999209
11,309.903,1.36367,1.33073,1.35173,1.48978,0.70318,0.64698,0.63275,0.36884,0.65251,0.5502,0.50553,0.1542,1.60556,1.36978,1.50939,1.43156,0.00999023,0.00999023,0.00999023
12,336.725,1.35758,1.3178,1.31571,1.48216,0.64421,0.66265,0.55435,0.27784,0.51794,0.55823,0.36193,0.10896,1.82657,1.50716,1.61259,1.60444,0.00998818,0.00998818,0.00998818
13,363.757,1.29394,1.29622,1.28659,1.4582,0.72763,0.64373,0.62667,0.32679,0.62704,0.57028,0.48275,0.13615,1.74737,1.4472,1.55766,1.46787,0.00998594,0.00998594,0.00998594
14,391.057,1.27741,1.30077,1.2581,1.44256,0.76415,0.68675,0.69987,0.40201,0.64616,0.59438,0.47963,0.13918,1.50739,1.37121,1.36096,1.38934,0.0099835,0.0099835,0.0099835
15,418.212,1.25806,1.26648,1.22313,1.4346,0.68055,0.46185,0.43473,0.23061,0.48676,0.3428,0.25747,0.0776,2.17646,2.25032,2.2993,1.92071,0.00998086,0.00998086,0.00998086
16,445.235,1.25453,1.30115,1.23238,1.42211,0.68994,0.69478,0.647,0.36243,0.58305,0.58635,0.47039,0.13801,1.64699,1.33389,1.43706,1.43799,0.00997803,0.00997803,0.00997803
17,472.261,1.21745,1.26055,1.20725,1.41277,0.06923,0.18876,0.01911,0.00605,0.03877,0.1004,0.00604,0.00191,3.76705,5.41897,6.32317,3.56206,0.00997501,0.00997501,0.00997501
18,499.239,1.21342,1.26489,1.19673,1.41507,0.82206,0.70683,0.68208,0.41566,0.72969,0.60643,0.53478,0.15927,1.47556,1.36848,1.3837,1.31817,0.00997179,0.00997179,0.00997179
19,526.599,1.17526,1.27153,1.16344,1.38851,0.78012,0.6988,0.71475,0.44322,0.68167,0.58233,0.52548,0.15929,1.40445,1.33341,1.25843,1.3447,0.00996838,0.00996838,0.00996838
20,553.913,1.13543,1.26492,1.13024,1.37536,0.80879,0.6795,0.6949,0.41825,0.72135,0.59259,0.53073,0.15655,1.44507,1.37303,1.32483,1.31509,0.00996477,0.00996477,0.00996477
21,582.934,1.15196,1.25276,1.13615,1.37139,0.81428,0.70436,0.69416,0.46313,0.73936,0.59839,0.53865,0.17036,1.3075,1.33028,1.23478,1.22144,0.00996097,0.00996097,0.00996097
22,610.58,1.18059,1.26006,1.1542,1.39099,0.78787,0.69478,0.72288,0.45261,0.6269,0.55823,0.46992,0.15013,1.42801,1.51829,1.34725,1.35265,0.00995697,0.00995697,0.00995697
23,637.405,1.13489,1.24122,1.10951,1.36003,0.82478,0.69947,0.71225,0.4447,0.72552,0.56225,0.50728,0.16358,1.34223,1.52523,1.2182,1.25219,0.00995278,0.00995278,0.00995278
24,664.394,1.12426,1.24365,1.13708,1.35732,0.68047,0.62651,0.59946,0.33256,0.56429,0.54618,0.42079,0.13863,1.64684,1.67542,1.59975,1.40377,0.0099484,0.0099484,0.0099484
25,691.115,1.13237,1.22908,1.1087,1.34811,0.7797,0.6988,0.68763,0.44601,0.70401,0.61044,0.54396,0.1801,1.39881,1.30544,1.3763,1.27189,0.00994383,0.00994383,0.00994383
26,718.534,1.07867,1.21097,1.06874,1.32744,0.86021,0.71672,0.74044,0.46953,0.7755,0.61847,0.57524,0.1883,1.3456,1.26102,1.21091,1.26362,0.00993906,0.00993906,0.00993906
27,745.892,1.06836,1.20439,1.07248,1.32337,0.83626,0.71486,0.73861,0.49699,0.70693,0.61044,0.53086,0.16569,1.24192,1.28413,1.15722,1.22448,0.0099341,0.0099341,0.0099341
28,774.358,1.06756,1.22142,1.0564,1.32199,0.79181,0.72289,0.72085,0.46319,0.73127,0.60241,0.55089,0.18202,1.32408,1.23432,1.17839,1.26636,0.00992894,0.00992894,0.00992894
29,802.05,1.06504,1.22041,1.05869,1.32085,0.83682,0.70025,0.7207,0.45731,0.72843,0.59438,0.52984,0.16251,1.32774,1.26338,1.25546,1.24989,0.00992359,0.00992359,0.00992359
30,830.312,1.06386,1.21169,1.05298,1.31547,0.82867,0.73811,0.75539,0.49518,0.74365,0.61847,0.56871,0.18423,1.24036,1.29301,1.14809,1.20811,0.00991805,0.00991805,0.00991805
31,858.516,1.05669,1.20569,1.07772,1.32281,0.83427,0.72779,0.7511,0.50374,0.71276,0.62249,0.57368,0.18847,1.23501,1.26073,1.12995,1.19814,0.00991232,0.00991232,0.00991232
32,886.138,1.04296,1.20004,1.02577,1.31697,0.80984,0.70123,0.70492,0.46944,0.6822,0.58635,0.50123,0.15841,1.3154,1.3562,1.16958,1.24601,0.0099064,0.0099064,0.0099064
33,914.782,1.04006,1.21678,1.04075,1.31002,0.83908,0.70683,0.74534,0.50181,0.77173,0.58385,0.53967,0.16469,1.25827,1.36511,1.1333,1.23625,0.00990028,0.00990028,0.00990028
34,942.67,1.02501,1.17771,1.00996,1.29296,0.80846,0.72289,0.73312,0.49917,0.71281,0.62249,0.59503,0.18676,1.2404,1.25773,1.13815,1.19614,0.00989398,0.00989398,0.00989398
35,969.5,1.03316,1.17412,1.01927,1.29491,0.8284,0.69795,0.76276,0.53307,0.69425,0.58233,0.56169,0.19706,1.16675,1.20862,1.14798,1.17178,0.00988748,0.00988748,0.00988748
36,996.358,1.007,1.19764,1.0072,1.28367,0.86387,0.73494,0.74015,0.49659,0.73249,0.62249,0.52633,0.15859,1.23445,1.27311,1.12895,1.21171,0.00988079,0.00988079,0.00988079
37,1023.45,1.0115,1.19605,0.98242,1.29208,0.82364,0.72289,0.7516,0.52111,0.71366,0.62249,0.59133,0.19093,1.18033,1.25182,1.09626,1.17054,0.00987391,0.00987391,0.00987391
38,1050.32,0.98882,1.16472,0.98212,1.26877,0.80049,0.71084,0.73449,0.48284,0.67859,0.59036,0.52107,0.1679,1.26565,1.33689,1.19426,1.22861,0.00986684,0.00986684,0.00986684
39,1077.18,1.02321,1.19389,0.99892,1.28211,0.81623,0.67783,0.70879,0.4653,0.6356,0.50602,0.39997,0.12643,1.33166,1.60742,1.20652,1.23512,0.00985958,0.00985958,0.00985958
40,1104.31,0.99018,1.1765,0.97175,1.26627,0.84753,0.71434,0.73315,0.4776,0.71899,0.60625,0.52083,0.16661,1.23408,1.34336,1.13192,1.18164,0.00985213,0.00985213,0.00985213
41,1131.13,1.01125,1.19023,0.97928,1.27237,0.81809,0.6747,0.73014,0.49615,0.68466,0.60241,0.55633,0.18509,1.19262,1.24352,1.14818,1.14123,0.00984449,0.00984449,0.00984449
42,1158.71,0.98416,1.16444,0.95344,1.26209,0.85684,0.6988,0.75027,0.49449,0.69029,0.56225,0.50043,0.17369,1.17498,1.29273,1.11084,1.15178,0.00983666,0.00983666,0.00983666
43,1185.7,0.99493,1.16975,0.95217,1.26417,0.83617,0.71486,0.72578,0.48657,0.69994,0.59839,0.52151,0.16109,1.31769,1.62246,1.20798,1.22925,0.00982864,0.00982864,0.00982864
44,1212.5,0.98156,1.1765,0.9637,1.25804,0.81802,0.70404,0.75399,0.5273,0.72668,0.60643,0.59458,0.17903,1.11559,1.2802,1.15461,1.1028,0.00982043,0.00982043,0.00982043
45,1240.54,0.99634,1.16775,0.97351,1.26418,0.86161,0.68675,0.77457,0.5307,0.74949,0.61847,0.60133,0.19395,1.10163,1.21285,1.05034,1.08419,0.00981204,0.00981204,0.00981204
46,1267.86,0.94443,1.14386,0.93769,1.24987,0.80237,0.65863,0.73822,0.51108,0.7008,0.5743,0.58916,0.18655,1.14637,1.25106,1.13998,1.12112,0.00980345,0.00980345,0.00980345
47,1295.68,0.95916,1.14794,0.92449,1.25145,0.87694,0.67871,0.76538,0.53051,0.80194,0.61847,0.62578,0.21275,1.1608,1.22632,1.0279,1.12847,0.00979468,0.00979468,0.00979468
