rank,cmc
1,0.015625
2,0.0234375
3,0.03125
4,0.0703125
5,0.078125
6,0.09375
7,0.1015625
8,0.1171875
9,0.125
10,0.125
11,0.1484375
12,0.15625
13,0.1796875
14,0.1953125
15,0.21875
16,0.2265625
17,0.234375
18,0.234375
19,0.25
20,0.25
21,0.2734375
22,0.28125
23,0.28125
24,0.28125
25,0.2890625
26,0.296875
27,0.3046875
28,0.3203125
29,0.3203125
30,0.3359375
31,0.3359375
32,0.3515625
33,0.359375
34,0.375
35,0.3828125
36,0.3984375
37,0.40625
38,0.40625
39,0.4140625
40,0.4140625
41,0.4375
42,0.4453125
43,0.4609375
44,0.4765625
45,0.5
46,0.5078125
47,0.515625
48,0.515625
49,0.5234375
50,0.5390625
