rank,cmc
1,0.015625
2,0.03125
3,0.03125
4,0.0390625
5,0.0703125
6,0.078125
7,0.0859375
8,0.09375
9,0.09375
10,0.1328125
11,0.15625
12,0.171875
13,0.1796875
14,0.1875
15,0.2109375
16,0.21875
17,0.234375
18,0.25
19,0.265625
20,0.2890625
21,0.2890625
22,0.296875
23,0.3203125
24,0.328125
25,0.34375
26,0.359375
27,0.3828125
28,0.4140625
29,0.4453125
30,0.453125
31,0.46875
32,0.4765625
33,0.484375
34,0.5
35,0.515625
36,0.53125
37,0.5390625
38,0.5390625
39,0.546875
40,0.5546875
41,0.5625
42,0.5703125
43,0.59375
44,0.59375
45,0.6015625
46,0.609375
47,0.625
48,0.625
49,0.625
50,0.640625
