rank,cmc
1,0.5859375
2,0.6875
3,0.734375
4,0.78125
5,0.7890625
6,0.8046875
7,0.8359375
8,0.84375
9,0.8515625
10,0.8515625
11,0.859375
12,0.8671875
13,0.8671875
14,0.875
15,0.8828125
16,0.8828125
17,0.890625
18,0.90625
19,0.90625
20,0.9140625
21,0.9140625
22,0.921875
23,0.921875
24,0.921875
25,0.921875
26,0.921875
27,0.921875
28,0.9375
29,0.9375
30,0.9375
31,0.9375
32,0.9375
33,0.9453125
34,0.9453125
35,0.9453125
36,0.953125
37,0.953125
38,0.953125
39,0.953125
40,0.953125
41,0.9609375
42,0.9609375
43,0.9609375
44,0.9609375
45,0.9609375
46,0.9765625
47,0.9765625
48,0.9765625
49,0.9765625
50,0.9765625
