epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2708,1.52255,1.71275,2.02409,1.59211,0.55627,0.53815,0.48182,0.18215,0.24139,0.2249,0.08196,0.01412,1.93336,8.56488,2.0501,1.77317,0.0672821,0.000330484,0.000330484
2,108.855,1.41922,1.36452,1.48617,1.52956,0.67774,0.55422,0.55635,0.27476,0.28336,0.23978,0.0991,0.01923,1.73878,1.68864,1.82137,1.72826,0.034282,0.000663811,0.000663811
3,161.96,1.36901,1.32899,1.42233,1.48909,0.68085,0.6506,0.62944,0.29685,0.00021,0.03213,0.00012,2e-05,1.72715,3.10199,1.81158,1.61787,0.00128201,0.000997112,0.000997112
4,215.341,1.3252,1.32566,1.35481,1.46186,0.72596,0.65863,0.6336,0.36009,0.58566,0.52224,0.42214,0.1211,1.60043,1.3933,1.54579,1.4408,0.000999912,0.000999912,0.000999912
5,268.25,1.25877,1.2936,1.27663,1.41704,0.61653,0.62249,0.55746,0.30227,0.52203,0.51004,0.38492,0.11242,1.63877,1.42444,1.59738,1.49589,0.000999844,0.000999844,0.000999844
6,320.907,1.20106,1.27794,1.2349,1.39101,0.76198,0.69478,0.70738,0.41813,0.60626,0.55422,0.43566,0.11456,1.47883,1.25417,1.32599,1.28747,0.000999756,0.000999756,0.000999756
7,373.62,1.14833,1.25543,1.17311,1.35341,0.79827,0.69925,0.70172,0.43945,0.7172,0.57036,0.50615,0.1653,1.36441,1.32851,1.29679,1.20562,0.000999648,0.000999648,0.000999648
8,425.832,1.12764,1.2656,1.14395,1.34489,0.83066,0.69478,0.7049,0.4377,0.67725,0.56627,0.46421,0.15127,1.35404,1.49981,1.21643,1.25134,0.000999521,0.000999521,0.000999521
9,478.438,1.09613,1.24826,1.1078,1.31966,0.82369,0.70281,0.73287,0.47959,0.71724,0.60241,0.57048,0.1928,1.25288,1.23064,1.15578,1.18574,0.000999375,0.000999375,0.000999375
10,531.051,1.05119,1.22713,1.06371,1.29661,0.81691,0.69882,0.75034,0.49706,0.6566,0.55288,0.47525,0.14673,1.2673,1.36617,1.16964,1.16665,0.000999209,0.000999209,0.000999209
11,583.438,1.03072,1.2157,1.04735,1.27177,0.7784,0.69478,0.7414,0.48149,0.70539,0.6058,0.5843,0.17513,1.21794,1.2425,1.16513,1.16034,0.000999023,0.000999023,0.000999023
12,636.255,1.02077,1.21343,1.02608,1.26833,0.80622,0.70683,0.72559,0.46841,0.72306,0.60643,0.56866,0.18286,1.20309,1.21378,1.12265,1.15587,0.000998818,0.000998818,0.000998818
13,688.637,1.02684,1.20234,1.00566,1.27427,0.77929,0.6988,0.75516,0.47377,0.71298,0.61847,0.59328,0.19562,1.29856,1.19353,1.16849,1.21325,0.000998594,0.000998594,0.000998594
14,741.486,1.00026,1.18123,0.99286,1.25156,0.85251,0.6988,0.75205,0.5104,0.74321,0.60241,0.58138,0.17063,1.17976,1.22223,1.11875,1.1128,0.00099835,0.00099835,0.00099835
15,794.569,1.00235,1.1891,0.99308,1.25847,0.83686,0.67984,0.75067,0.50925,0.70558,0.57028,0.57221,0.17649,1.19937,1.25987,1.14426,1.14399,0.000998086,0.000998086,0.000998086
16,847.573,0.97181,1.18766,0.95286,1.24317,0.72327,0.73092,0.70328,0.46195,0.63666,0.61847,0.56627,0.18551,1.31744,1.20662,1.20717,1.21054,0.000997803,0.000997803,0.000997803
17,899.044,0.9534,1.18035,0.93135,1.22354,0.86124,0.66667,0.75281,0.52219,0.75833,0.57831,0.56998,0.1804,1.19065,1.27846,1.04864,1.15401,0.000997501,0.000997501,0.000997501
18,951.952,0.94977,1.15999,0.94426,1.23055,0.79223,0.70683,0.74318,0.51245,0.69939,0.60735,0.58466,0.18597,1.11815,1.30844,1.03264,1.08617,0.000997179,0.000997179,0.000997179
19,1004.33,0.94075,1.15487,0.92791,1.22034,0.87574,0.6747,0.7599,0.54638,0.73125,0.56225,0.54208,0.17091,1.09415,1.23678,0.98322,1.11107,0.000996838,0.000996838,0.000996838
20,1050.52,0.93112,1.15448,0.91133,1.22207,0.85349,0.73494,0.79135,0.53861,0.79637,0.65967,0.67844,0.21521,1.14816,1.20667,1.04502,1.06992,0.000996477,0.000996477,0.000996477
21,1085.7,0.93174,1.15783,0.9039,1.218,0.83937,0.67157,0.75367,0.52058,0.74444,0.59664,0.59007,0.19777,1.13318,1.2481,1.05775,1.09889,0.000996097,0.000996097,0.000996097
22,1138.45,0.90564,1.16871,0.88444,1.20369,0.84083,0.73896,0.7579,0.53227,0.73634,0.64659,0.59637,0.19017,1.13111,1.18837,1.02911,1.09189,0.000995697,0.000995697,0.000995697
23,1191.29,0.90782,1.1509,0.88761,1.20508,0.8542,0.71888,0.76634,0.55563,0.81341,0.62651,0.64117,0.20029,1.0528,1.19126,1.02899,1.0632,0.000995278,0.000995278,0.000995278
24,1244.97,0.90443,1.14793,0.88332,1.2058,0.84257,0.68784,0.77009,0.54358,0.75967,0.60935,0.62245,0.20714,1.09363,1.18087,1.11862,1.06264,0.00099484,0.00099484,0.00099484
25,1297.77,0.89864,1.14449,0.86358,1.19359,0.85902,0.72289,0.80093,0.59829,0.77744,0.64659,0.64798,0.22473,0.99011,1.16878,0.93378,1.04297,0.000994383,0.000994383,0.000994383
26,1350.35,0.88186,1.13954,0.84702,1.18098,0.84979,0.71084,0.77119,0.54605,0.73998,0.64005,0.62161,0.19574,1.0638,1.21943,0.96472,1.08804,0.000993906,0.000993906,0.000993906
27,1402.93,0.86646,1.13501,0.84358,1.17709,0.85278,0.71486,0.78998,0.56258,0.72045,0.69076,0.66415,0.21872,1.05609,1.23022,0.92141,1.05982,0.00099341,0.00099341,0.00099341
