epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6672,1.98757,2.03415,2.2157,1.7037,0.00215,0.13655,0.00077,0.00023,0,0,0,0,4.66275,2955.59,inf,111.519,0.0705085,0.00327684,0.00327684
2,71.2239,1.9359,1.53883,1.80834,1.66307,0.00153,0.2008,0.00083,0.0002,0,0,0,0,4.11491,32.5055,inf,15.188,0.0405084,0.0066101,0.0066101
3,106.823,1.85481,1.52038,1.7339,1.63059,0.01557,0.2249,0.00776,0.00226,0.00105,0.05221,0.00032,5e-05,nan,nan,nan,nan,0.0105081,0.00994311,0.00994311
4,142.026,1.75545,1.45596,1.62321,1.55976,0.03086,0.06024,0.00875,0.00185,0.35229,0.00402,0.00259,0.00027,4.02918,6.0594,9.25068,3.8016,0.00999912,0.00999912,0.00999912
5,177.598,1.62046,1.40957,1.47004,1.47021,0.45832,0.45783,0.37555,0.17837,0.3626,0.23293,0.16939,0.0421,2.12182,2.93942,2.68699,1.82318,0.00999844,0.00999844,0.00999844
6,213.223,1.51248,1.37682,1.38127,1.40655,0.36965,0.40964,0.30754,0.1338,0.32708,0.40161,0.22342,0.0579,2.37138,1.48217,2.1901,1.95811,0.00999756,0.00999756,0.00999756
7,249.108,1.42192,1.33968,1.34442,1.35438,0.60016,0.57831,0.55229,0.28531,0.42902,0.4134,0.30533,0.06563,1.97897,1.79859,1.66642,1.47589,0.00999648,0.00999648,0.00999648
8,284.654,1.36647,1.34233,1.28006,1.3255,0.41145,0.41767,0.30873,0.11374,0.39998,0.38956,0.25561,0.06906,2.56081,1.99734,2.20762,1.92839,0.00999521,0.00999521,0.00999521
9,320,1.34969,1.28981,1.27685,1.32182,0.57583,0.63454,0.56285,0.2851,0.48483,0.4739,0.37988,0.11356,1.73424,1.40593,1.74892,1.33258,0.00999375,0.00999375,0.00999375
10,356.404,1.29854,1.30361,1.22385,1.29043,0.77438,0.65863,0.66969,0.3859,0.71214,0.59614,0.54258,0.16681,1.58862,1.309,1.29271,1.23456,0.00999209,0.00999209,0.00999209
11,392.168,1.27226,1.27148,1.21168,1.28774,0.75114,0.61821,0.64492,0.38257,0.64783,0.53191,0.47948,0.14451,1.60142,1.34586,1.53922,1.21079,0.00999023,0.00999023,0.00999023
12,427.949,1.25902,1.27943,1.16663,1.26988,0.63013,0.50201,0.48393,0.26345,0.54063,0.40161,0.33025,0.09288,1.9848,1.97163,1.84342,1.623,0.00998818,0.00998818,0.00998818
13,463.006,1.23279,1.26999,1.17498,1.26353,0.69209,0.65863,0.66693,0.37754,0.6292,0.56225,0.5182,0.15606,1.61328,1.40151,1.31855,1.16258,0.00998594,0.00998594,0.00998594
14,498.241,1.20775,1.24908,1.14831,1.24513,0.42621,0.50201,0.42304,0.23307,0.34085,0.3925,0.26051,0.06731,1.58792,1.62743,3.16704,1.27443,0.0099835,0.0099835,0.0099835
15,533.62,1.20409,1.25069,1.15021,1.24645,0.8034,0.6747,0.71286,0.44187,0.77902,0.62296,0.63803,0.18891,1.37841,1.2745,1.25568,1.09902,0.00998086,0.00998086,0.00998086
16,568.96,1.1637,1.27624,1.10026,1.22781,0.79212,0.63855,0.65818,0.40758,0.70986,0.54217,0.51482,0.14756,1.64969,1.68574,1.44594,1.2966,0.00997803,0.00997803,0.00997803
17,605.029,1.11703,1.23617,1.06684,1.21248,0.82873,0.6506,0.69855,0.4605,0.78333,0.60982,0.60029,0.18825,1.34455,1.2823,1.18216,1.07589,0.00997501,0.00997501,0.00997501
18,640.749,1.17476,1.24788,1.09476,1.24247,0.67024,0.63052,0.59906,0.35084,0.66298,0.48594,0.46743,0.13594,1.65201,1.69634,1.37164,1.21533,0.00997179,0.00997179,0.00997179
19,676.465,1.13532,1.25697,1.08684,1.21377,0.81822,0.69478,0.69781,0.43056,0.72836,0.61847,0.5523,0.16181,1.49176,1.33331,1.38927,1.15103,0.00996838,0.00996838,0.00996838
20,711.805,1.08952,1.2448,1.03339,1.20453,0.8641,0.68945,0.72678,0.4349,0.79466,0.6217,0.59837,0.18894,1.40336,1.24309,1.22739,1.07993,0.00996477,0.00996477,0.00996477
21,748.181,1.0886,1.23982,1.01794,1.18758,0.77392,0.68675,0.69021,0.43259,0.68035,0.60691,0.55347,0.16142,1.32786,1.37588,1.26561,1.03519,0.00996097,0.00996097,0.00996097
22,784.03,1.09737,1.22595,1.03408,1.19731,0.82769,0.66667,0.70401,0.45754,0.72924,0.59492,0.57706,0.19863,1.4804,1.49594,1.35971,1.19484,0.00995697,0.00995697,0.00995697
23,819.783,1.0841,1.22775,1.01722,1.18498,0.71511,0.59476,0.63414,0.40846,0.63532,0.5502,0.51683,0.15986,1.45191,1.37225,1.43406,1.17394,0.00995278,0.00995278,0.00995278
