rank,cmc
1,0.4296875
2,0.5078125
3,0.5625
4,0.578125
5,0.6015625
6,0.6484375
7,0.671875
8,0.6953125
9,0.71875
10,0.7421875
11,0.7421875
12,0.75
13,0.7578125
14,0.7734375
15,0.7890625
16,0.796875
17,0.8046875
18,0.8125
19,0.8203125
20,0.828125
21,0.828125
22,0.8359375
23,0.8515625
24,0.8671875
25,0.8671875
26,0.875
27,0.875
28,0.875
29,0.875
30,0.875
31,0.875
32,0.890625
33,0.8984375
34,0.8984375
35,0.8984375
36,0.90625
37,0.90625
38,0.90625
39,0.90625
40,0.90625
41,0.9140625
42,0.9140625
43,0.9296875
44,0.9375
45,0.9375
46,0.9375
47,0.9375
48,0.9375
49,0.9453125
50,0.9453125
