rank,cmc
1,0.03125
2,0.0625
3,0.0703125
4,0.1015625
5,0.1171875
6,0.140625
7,0.15625
8,0.15625
9,0.1640625
10,0.1875
11,0.1953125
12,0.203125
13,0.203125
14,0.234375
15,0.265625
16,0.2734375
17,0.2890625
18,0.296875
19,0.3203125
20,0.3359375
21,0.3671875
22,0.3671875
23,0.375
24,0.390625
25,0.3984375
26,0.4140625
27,0.421875
28,0.421875
29,0.453125
30,0.484375
31,0.5078125
32,0.5078125
33,0.5234375
34,0.546875
35,0.546875
36,0.5546875
37,0.5703125
38,0.578125
39,0.59375
40,0.609375
41,0.6171875
42,0.6171875
43,0.6171875
44,0.6171875
45,0.6171875
46,0.640625
47,0.65625
48,0.671875
49,0.6875
50,0.6875
