rank,cmc
1,0.5703125
2,0.6640625
3,0.7265625
4,0.734375
5,0.765625
6,0.7890625
7,0.796875
8,0.8125
9,0.8125
10,0.8359375
11,0.8359375
12,0.8359375
13,0.84375
14,0.8515625
15,0.859375
16,0.8671875
17,0.8671875
18,0.875
19,0.890625
20,0.890625
21,0.890625
22,0.9140625
23,0.9140625
24,0.921875
25,0.921875
26,0.921875
27,0.9453125
28,0.9453125
29,0.953125
30,0.953125
31,0.953125
32,0.953125
33,0.953125
34,0.953125
35,0.953125
36,0.953125
37,0.9609375
38,0.9609375
39,0.9609375
40,0.9609375
41,0.96875
42,0.96875
43,0.96875
44,0.9765625
45,0.9765625
46,0.9765625
47,0.9765625
48,0.9765625
49,0.984375
50,0.984375
