epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.2698,2.18271,1.89422,2.49867,2.13669,0.02132,0.09661,0.00497,0.00111,0.00046,0.1004,0.00033,6e-05,4.16329,20.1493,18.899,17.329,0.0702564,0.00330484,0.00330484
2,111.321,2.17591,1.59576,2.22433,2.14022,0.23299,0.31325,0.17477,0.05172,0.16055,0.28514,0.08076,0.01609,2.70639,1.9265,6.39745,2.35021,0.0402563,0.00663811,0.00663811
3,166.213,2.00288,1.54694,2.07106,1.98111,0.31926,0.29719,0.17556,0.05397,0.20272,0.3135,0.14801,0.03573,2.61812,2.88722,5.66825,2.53557,0.010256,0.00997112,0.00997112
4,219.254,1.85151,1.47741,1.91307,1.8661,0.36467,0.42646,0.32138,0.11488,0.18946,0.17269,0.0545,0.01271,2.28385,3.54451,2.74437,2.12753,0.00999912,0.00999912,0.00999912
5,273.775,1.74875,1.42226,1.77696,1.77557,0.42001,0.3253,0.2758,0.08481,0.49992,0.34928,0.29496,0.09799,2.39511,1.50628,2.77613,2.00951,0.00999844,0.00999844,0.00999844
6,327.784,1.69417,1.38322,1.70957,1.72999,0.48157,0.56225,0.43249,0.18721,0.37924,0.43775,0.27434,0.07235,1.92543,1.38356,1.79636,1.65671,0.00999756,0.00999756,0.00999756
7,381.275,1.58377,1.36496,1.62034,1.64788,0.57451,0.5502,0.48754,0.21259,0.4363,0.45382,0.31816,0.09083,2.018,1.8825,2.01269,1.74711,0.00999648,0.00999648,0.00999648
8,435.256,1.55568,1.37774,1.56702,1.63125,0.65482,0.59438,0.58682,0.30624,0.56329,0.47657,0.37357,0.12003,1.83327,1.35049,1.57332,1.54858,0.00999521,0.00999521,0.00999521
9,489.882,1.49729,1.35765,1.48805,1.58382,0.58038,0.59438,0.54899,0.27902,0.49323,0.51597,0.3967,0.12502,1.87467,1.35201,1.65177,1.62028,0.00999375,0.00999375,0.00999375
10,543.75,1.461,1.32655,1.47385,1.56715,0.71366,0.63454,0.61429,0.29963,0.62328,0.56225,0.4702,0.11993,1.9035,1.44066,1.63425,1.63896,0.00999209,0.00999209,0.00999209
11,597.083,1.41502,1.30297,1.39336,1.52316,0.62922,0.64064,0.55561,0.30177,0.53645,0.54618,0.40039,0.12515,1.73768,1.29256,1.79776,1.56318,0.00999023,0.00999023,0.00999023
12,651.628,1.37475,1.31011,1.37229,1.50148,0.71786,0.61446,0.59882,0.31026,0.60963,0.53938,0.42426,0.12183,1.75575,1.29053,1.53622,1.54399,0.00998818,0.00998818,0.00998818
13,705.986,1.33235,1.289,1.32375,1.47289,0.68471,0.68675,0.639,0.36173,0.62022,0.58233,0.47658,0.13625,1.61032,1.31135,1.54087,1.42185,0.00998594,0.00998594,0.00998594
14,759.709,1.30624,1.27816,1.32199,1.45913,0.78835,0.68812,0.69019,0.38463,0.68663,0.60241,0.51521,0.14482,1.66173,1.35273,1.44775,1.46245,0.0099835,0.0099835,0.0099835
15,813.779,1.28148,1.28318,1.27663,1.45383,0.67468,0.64257,0.60747,0.35763,0.61126,0.48594,0.41993,0.11998,1.6137,1.3865,1.49292,1.41558,0.00998086,0.00998086,0.00998086
16,868.161,1.2414,1.29284,1.24797,1.43678,0.83068,0.70929,0.71439,0.42899,0.72417,0.601,0.53551,0.17177,1.47954,1.25013,1.36448,1.37774,0.00997803,0.00997803,0.00997803
17,921.344,1.248,1.28176,1.23914,1.41649,0.76843,0.69076,0.66896,0.41626,0.66575,0.55823,0.48934,0.15153,1.44182,1.29323,1.41154,1.36905,0.00997501,0.00997501,0.00997501
18,974.945,1.23168,1.26578,1.23862,1.42051,0.7901,0.6747,0.69242,0.43569,0.67306,0.56222,0.5042,0.16117,1.48153,1.29399,1.35764,1.38228,0.00997179,0.00997179,0.00997179
19,1029.39,1.20887,1.25365,1.22205,1.40639,0.77452,0.68977,0.69895,0.44115,0.63583,0.56225,0.4593,0.13226,1.39274,1.2991,1.29111,1.31068,0.00996838,0.00996838,0.00996838
20,1083.43,1.18015,1.25664,1.18019,1.39577,0.85238,0.71084,0.73175,0.45226,0.74084,0.61994,0.5572,0.15864,1.32399,1.21018,1.29612,1.26233,0.00996477,0.00996477,0.00996477
21,1136.66,1.18167,1.25578,1.1622,1.38719,0.79679,0.67068,0.71139,0.45201,0.62504,0.53815,0.45292,0.15044,1.40034,1.34231,1.31456,1.31971,0.00996097,0.00996097,0.00996097
22,1191.02,1.15165,1.26046,1.16343,1.37692,0.81233,0.71274,0.72862,0.4508,0.72207,0.62249,0.56221,0.16551,1.44764,1.23391,1.24097,1.36386,0.00995697,0.00995697,0.00995697
23,1245.6,1.13848,1.23933,1.14036,1.37257,0.77452,0.70353,0.7079,0.46485,0.69421,0.56627,0.52997,0.15966,1.31539,1.20382,1.25402,1.26414,0.00995278,0.00995278,0.00995278
