rank,cmc
1,0.015625
2,0.0390625
3,0.0546875
4,0.078125
5,0.078125
6,0.0859375
7,0.1015625
8,0.1171875
9,0.1484375
10,0.1640625
11,0.171875
12,0.2109375
13,0.21875
14,0.2421875
15,0.25
16,0.25
17,0.25
18,0.265625
19,0.2890625
20,0.296875
21,0.3125
22,0.328125
23,0.3515625
24,0.375
25,0.390625
26,0.390625
27,0.3984375
28,0.40625
29,0.40625
30,0.4375
31,0.4609375
32,0.4765625
33,0.484375
34,0.4921875
35,0.5078125
36,0.5390625
37,0.5546875
38,0.5546875
39,0.5625
40,0.5625
41,0.59375
42,0.59375
43,0.6171875
44,0.6171875
45,0.6328125
46,0.6328125
47,0.6328125
48,0.6484375
49,0.6484375
50,0.65625
