rank,cmc
1,0.5390625
2,0.6640625
3,0.7109375
4,0.7421875
5,0.78125
6,0.796875
7,0.8046875
8,0.8046875
9,0.8125
10,0.8203125
11,0.8203125
12,0.84375
13,0.8515625
14,0.859375
15,0.859375
16,0.859375
17,0.8671875
18,0.8671875
19,0.875
20,0.875
21,0.890625
22,0.90625
23,0.90625
24,0.90625
25,0.9140625
26,0.9140625
27,0.9140625
28,0.9140625
29,0.9140625
30,0.9140625
31,0.921875
32,0.921875
33,0.921875
34,0.921875
35,0.921875
36,0.9296875
37,0.9375
38,0.9375
39,0.9375
40,0.9375
41,0.9375
42,0.9453125
43,0.9453125
44,0.9453125
45,0.9453125
46,0.953125
47,0.953125
48,0.9609375
49,0.9765625
50,0.9765625
