epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3516,2.16451,2.20471,2.5904,2.08311,7e-05,0.01606,3e-05,1e-05,0,0,0,0,5.57881,7450.07,inf,352.536,0.0705085,0.00327684,0.00327684
2,54.6657,2.07343,1.58048,2.12519,2.03105,0.00232,0.22088,0.00142,0.00046,0,0,0,0,3.89141,nan,inf,22.5816,0.0405084,0.0066101,0.0066101
3,82.1226,1.97494,1.5245,2.01043,1.96437,0.01251,0.24498,0.00848,0.00228,0,0,0,0,3.75498,812.109,111.985,4.10223,0.0105081,0.00994311,0.00994311
4,109.087,1.85058,1.50386,1.87942,1.87651,0.38457,0.29719,0.19834,0.06207,0.17066,0.15663,0.05087,0.00824,2.61843,12.8015,6.08869,2.54139,0.00999912,0.00999912,0.00999912
5,136.464,1.75718,1.41548,1.74874,1.76799,0.25822,0.43479,0.22495,0.07293,0.14297,0.13655,0.03873,0.00614,2.58801,20.4947,5.45975,2.47228,0.00999844,0.00999844,0.00999844
6,182.947,1.63074,1.4237,1.62173,1.68871,0.20021,0.27711,0.10304,0.03891,0.13334,0.1004,0.03563,0.00662,3.02572,2.419,3.03112,2.99721,0.00999756,0.00999756,0.00999756
7,230.866,1.56833,1.38599,1.60451,1.63415,0.43118,0.54217,0.4152,0.18115,0.19687,0.29719,0.10702,0.02679,2.1043,70.9114,1.85435,1.9908,0.00999648,0.00999648,0.00999648
8,278.186,1.48788,1.36118,1.47559,1.57663,0.46343,0.54804,0.45224,0.17199,0.37346,0.41892,0.29874,0.07609,2.13387,1.60309,2.7894,1.87174,0.00999521,0.00999521,0.00999521
9,325.81,1.46746,1.32082,1.4406,1.55296,0.61964,0.53414,0.56621,0.25617,0.57261,0.49799,0.44381,0.13055,1.91553,1.34381,1.98299,1.67456,0.00999375,0.00999375,0.00999375
10,372.888,1.43056,1.31663,1.43289,1.5391,0.64214,0.64257,0.59729,0.33661,0.53384,0.5381,0.40647,0.11162,1.64395,1.65377,1.57741,1.47569,0.00999209,0.00999209,0.00999209
11,419.786,1.36649,1.30639,1.36363,1.49524,0.55773,0.53177,0.49052,0.2627,0.43418,0.42169,0.30096,0.07686,1.76329,1.53506,1.98481,1.59092,0.00999023,0.00999023,0.00999023
12,466.933,1.33052,1.303,1.31972,1.46305,0.66775,0.59728,0.57353,0.30748,0.53761,0.4739,0.38021,0.11863,1.79473,1.7061,1.70644,1.65097,0.00998818,0.00998818,0.00998818
13,513.099,1.29889,1.28584,1.30655,1.45088,0.72771,0.62249,0.6502,0.37559,0.56423,0.50602,0.41288,0.11407,1.56402,1.44701,1.4253,1.41652,0.00998594,0.00998594,0.00998594
14,560.09,1.28707,1.29279,1.28696,1.45309,0.71542,0.6506,0.65452,0.39707,0.64092,0.58233,0.52154,0.15167,1.64207,1.46882,1.48836,1.46804,0.0099835,0.0099835,0.0099835
15,607.13,1.26736,1.26635,1.24911,1.43249,0.77347,0.71084,0.67731,0.40364,0.50569,0.49398,0.34029,0.09134,1.51106,118.363,1.42957,1.48604,0.00998086,0.00998086,0.00998086
16,654.43,1.25016,1.30589,1.23139,1.40847,0.81178,0.71084,0.71252,0.43575,0.68741,0.60241,0.53312,0.15739,1.44219,1.48756,1.32312,1.317,0.00997803,0.00997803,0.00997803
17,701.178,1.22174,1.26736,1.1951,1.40883,0.7482,0.65635,0.68092,0.40759,0.64483,0.56144,0.50402,0.15181,1.44002,1.32453,1.34676,1.33165,0.00997501,0.00997501,0.00997501
18,748.274,1.22497,1.24984,1.20406,1.41279,0.81812,0.70453,0.69088,0.41746,0.72275,0.60722,0.54246,0.16445,1.54153,1.29894,1.30992,1.36532,0.00997179,0.00997179,0.00997179
19,795.179,1.19928,1.26914,1.18652,1.39314,0.76858,0.65863,0.66475,0.37544,0.28641,0.23293,0.09681,0.02273,1.55739,55.605,1.3626,1.47608,0.00996838,0.00996838,0.00996838
20,842.059,1.15189,1.27019,1.15461,1.37833,0.80548,0.67068,0.72463,0.44667,0.67357,0.5801,0.5086,0.14291,1.397,1.32035,1.26588,1.29614,0.00996477,0.00996477,0.00996477
21,889.237,1.15612,1.25069,1.15121,1.36213,0.82871,0.70683,0.71122,0.42966,0.72545,0.61446,0.55744,0.17264,1.3925,1.31885,1.29122,1.24423,0.00996097,0.00996097,0.00996097
22,936.293,1.15681,1.24873,1.15599,1.37466,0.78682,0.72691,0.69811,0.44915,0.61227,0.5743,0.44243,0.15142,1.3819,1.36422,1.22677,1.32865,0.00995697,0.00995697,0.00995697
23,983.341,1.13417,1.23595,1.12676,1.3589,0.83285,0.69478,0.72909,0.48169,0.75343,0.58904,0.557,0.17537,1.33776,1.2844,1.28186,1.26174,0.00995278,0.00995278,0.00995278
24,1030.41,1.14662,1.24526,1.14813,1.36618,0.77192,0.70678,0.71328,0.44544,0.69103,0.56627,0.49748,0.15671,1.33143,1.27831,1.29997,1.27526,0.0099484,0.0099484,0.0099484
25,1077.59,1.12353,1.24812,1.12479,1.34769,0.77682,0.68495,0.70338,0.45669,0.66947,0.60241,0.51331,0.15828,1.36727,1.25333,1.29003,1.26961,0.00994383,0.00994383,0.00994383
26,1124.62,1.09858,1.21848,1.07364,1.32635,0.82314,0.71084,0.71757,0.4768,0.74862,0.62194,0.57277,0.17284,1.25102,1.25418,1.18332,1.20928,0.00993906,0.00993906,0.00993906
