rank,cmc
1,0.0078125
2,0.0234375
3,0.046875
4,0.0625
5,0.078125
6,0.09375
7,0.1015625
8,0.1171875
9,0.1171875
10,0.125
11,0.1484375
12,0.1875
13,0.203125
14,0.21875
15,0.2421875
16,0.25
17,0.2578125
18,0.2890625
19,0.3125
20,0.3125
21,0.3359375
22,0.3515625
23,0.3671875
24,0.375
25,0.4140625
26,0.4296875
27,0.4375
28,0.4453125
29,0.4609375
30,0.46875
31,0.4921875
32,0.4921875
33,0.5
34,0.5
35,0.5078125
36,0.5234375
37,0.5234375
38,0.5703125
39,0.5703125
40,0.5703125
41,0.5703125
42,0.578125
43,0.5859375
44,0.6015625
45,0.609375
46,0.609375
47,0.625
48,0.640625
49,0.640625
50,0.640625
