rank,cmc
1,0.0390625
2,0.0859375
3,0.1328125
4,0.1640625
5,0.1875
6,0.2109375
7,0.2421875
8,0.265625
9,0.265625
10,0.28125
11,0.2890625
12,0.3125
13,0.3125
14,0.328125
15,0.34375
16,0.3515625
17,0.375
18,0.390625
19,0.390625
20,0.40625
21,0.4296875
22,0.4453125
23,0.4609375
24,0.4609375
25,0.4765625
26,0.4765625
27,0.4765625
28,0.484375
29,0.5
30,0.5078125
31,0.515625
32,0.5390625
33,0.5390625
34,0.5390625
35,0.546875
36,0.5703125
37,0.5859375
38,0.609375
39,0.6171875
40,0.6328125
41,0.6328125
42,0.6484375
43,0.65625
44,0.65625
45,0.6640625
46,0.6796875
47,0.6953125
48,0.7109375
49,0.7265625
50,0.734375
