rank,cmc
1,0.03125
2,0.0390625
3,0.0625
4,0.0703125
5,0.0859375
6,0.109375
7,0.109375
8,0.1171875
9,0.140625
10,0.15625
11,0.171875
12,0.1875
13,0.21875
14,0.2421875
15,0.28125
16,0.3125
17,0.3125
18,0.3359375
19,0.3359375
20,0.3359375
21,0.3515625
22,0.3515625
23,0.3828125
24,0.40625
25,0.4296875
26,0.4375
27,0.4609375
28,0.4921875
29,0.515625
30,0.5234375
31,0.53125
32,0.578125
33,0.6015625
34,0.609375
35,0.6171875
36,0.6171875
37,0.625
38,0.65625
39,0.671875
40,0.6796875
41,0.6796875
42,0.6875
43,0.7109375
44,0.7265625
45,0.734375
46,0.734375
47,0.7421875
48,0.7421875
49,0.7421875
50,0.7578125
