rank,cmc
1,0.5546875
2,0.625
3,0.6953125
4,0.734375
5,0.734375
6,0.7578125
7,0.7734375
8,0.7890625
9,0.8125
10,0.8203125
11,0.84375
12,0.84375
13,0.859375
14,0.8671875
15,0.8828125
16,0.8828125
17,0.8828125
18,0.8828125
19,0.8828125
20,0.8828125
21,0.8828125
22,0.8828125
23,0.8828125
24,0.8828125
25,0.8984375
26,0.90625
27,0.9140625
28,0.921875
29,0.921875
30,0.9296875
31,0.9296875
32,0.9296875
33,0.9296875
34,0.9296875
35,0.9296875
36,0.9296875
37,0.9296875
38,0.9296875
39,0.9296875
40,0.9296875
41,0.9375
42,0.9375
43,0.9375
44,0.9375
45,0.9375
46,0.9375
47,0.9609375
48,0.9609375
49,0.9609375
50,0.9609375
