rank,cmc
1,0.4140625
2,0.5234375
3,0.5703125
4,0.640625
5,0.6875
6,0.7265625
7,0.765625
8,0.7734375
9,0.8046875
10,0.8046875
11,0.8203125
12,0.828125
13,0.8359375
14,0.8359375
15,0.84375
16,0.84375
17,0.8515625
18,0.8671875
19,0.875
20,0.875
21,0.8828125
22,0.8828125
23,0.8828125
24,0.8828125
25,0.890625
26,0.890625
27,0.90625
28,0.9140625
29,0.9140625
30,0.9140625
31,0.9140625
32,0.9140625
33,0.921875
34,0.9296875
35,0.9296875
36,0.9296875
37,0.9296875
38,0.9375
39,0.9453125
40,0.953125
41,0.953125
42,0.953125
43,0.953125
44,0.9609375
45,0.9609375
46,0.96875
47,0.96875
48,0.9765625
49,0.9765625
50,0.9765625
